"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","trades"
"TDSLGO-JGEKG-PMMFH4","OJGBEZ-663V6-KHRUMW","ETH/EUR","forex","2024-03-06 19:26:17.6734","buy","limit",3545.09000,119.99998,0.19200,0.03384963,0.00000,"","LNMKXD-GQ7CU-6UPHB2,L6DQJE-BO4DZ-3TNFFE","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TQX2SN-NSD5M-I7IOVY","OA37ML-SKWM2-MCOR4K","BTC/EUR","forex","2024-03-06 19:33:53.6622","buy","limit",61578.80000,11.13899,0.01782,0.00018089,0.00000,"","L2KNZK-7A2W2-QATAQN,L7SLPZ-BQ6T5-UF5SRO","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T4XCQA-W32X6-77YAHF","OA37ML-SKWM2-MCOR4K","BTC/EUR","forex","2024-03-06 19:33:54.7143","buy","limit",61578.80000,48.69467,0.07791,0.00079077,0.00000,"","LPC2FO-F5MEB-QYE7N4,LFELI3-BU3VT-PT7TVP","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T7LOKZ-5U2Q7-5CCY2L","OZJYG2-UGDCJ-7X25ZI","ETH/EUR","forex","2024-03-07 05:44:07.9404","buy","limit",3450.09000,120.00000,0.19200,0.03478170,0.00000,"","LVUZCI-XXWFO-C5SYPD,LUDX7H-VB4F7-TSWPFE","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TXXJHM-HQR6L-IJZEGU","OIU7MU-G5SQ4-5I3HYA","ETH/BTC","forex","2024-03-18 18:06:11.6115","buy","limit",0.052040,0.0080600000,0.0000128960,0.15488086,0.0000000000,"","L4IBM2-4NTJT-WJA4SU,LCNV4N-JBIB7-WYSIPD","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TKQGE5-HARGY-WFCYDU","O7RVNN-UUNEU-D7YKH3","ETH/EUR","forex","2024-04-08 11:46:18.9418","buy","limit",3349.01000,100.00000,0.25000,0.02985957,0.00000,"","LGTQFV-IJVA6-Q34POW,L6YMQU-4QZGX-WZY4PQ","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TVRVMO-REEUN-5KIUUD","ORX2NV-7H4DU-A5K5U3","BTC/EUR","forex","2024-04-08 11:47:37.0183","buy","limit",66710.90000,49.99982,0.12500,0.00074950,0.00000,"","LW72MT-T2BK4-VLJNKC,LM4LCJ-T3G4A-IBZIZM","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TUI7GZ-3ZY25-6UQGDT","OCDHP2-JDFQG-J3O4VP","ETH/EUR","forex","2024-04-12 17:28:38.1344","buy","limit",3100.00000,99.75068,0.24938,0.03217764,0.00000,"","LW33DI-3N3W5-6P3COH,LDWM5V-4MATW-7MN3CE","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TG6DIU-J3JNO-VR64PY","OZSX33-QQEN5-QMROV7","BTC/EUR","forex","2024-04-12 18:33:08.9786","buy","limit",62500.00000,50.00000,0.12500,0.00080000,0.00000,"","LHHGMU-YMTLB-GQCRYJ,LS35RG-5IMRF-UXUKFW","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TGU5AD-4MOLN-WLDDOF","OUBJ5A-AK7OH-M7IS3L","AAVE/EUR","forex","2024-04-28 14:07:56.407","sell","limit",85.52000,145.38400,0.36346,1.70000000,0.00000,"","LEU4JA-4EFV6-6OOJXE,LJFQDF-NLCDJ-WXHG3G","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TAYLCR-CJGYT-SGDANN","OUBJ5A-AK7OH-M7IS3L","AAVE/EUR","forex","2024-04-28 14:08:13.3541","sell","limit",85.52000,191.71923,0.47930,2.24180580,0.00000,"","LOTWJ7-XK5LH-P4JATW,L75GNB-RE6MH-T3Y3H7","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T2FA2W-KSWKC-TCZQJH","OFNRXQ-HROT3-XB2SPP","LINK/EUR","forex","2024-04-28 14:09:21.1594","sell","limit",13.236140,498.106281,1.245266,37.63229169,0.000000,"","LS3SJI-E2RMG-DSBILA,L7WPVN-Y5LV7-2F56VG","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TK3YSC-3B3VE-RD3NNM","ODGJMP-5OXB6-NQFHY4","COMP/EUR","forex","2024-04-28 14:10:01.8686","sell","limit",53.2200,266.1000,0.6653,5.00000000,0.0000,"","L7JAFI-WUD6L-H37FZN,LM5VSR-TT624-7Y7HF6","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TICLBG-NCNNQ-7FWLMK","OUJKZ3-SIUGF-NOYZ4N","ETH/USDT","forex","2024-04-28 14:24:46.2414","sell","limit",3311.20000,677.34324,1.69336,0.20456126,0.00000,"","L274LJ-JHZJB-7JBJMJ,LLQ5JJ-YUX6W-BWMMO3","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TGRA7A-5ATCX-FL7XUZ","OJTCU5-LHXTP-4GXYK4","MKR/EUR","forex","2024-04-28 14:31:19.1239","sell","limit",2861.50000,625.25309,1.56313,0.21850536,0.00000,"","LZ6JST-ZMDVU-2ZCSYY,LM7GV7-F6YF3-OWNTOO","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TYNXYN-P5XRT-3NYHRI","OJTCU5-LHXTP-4GXYK4","MKR/EUR","forex","2024-04-28 14:31:20.8853","sell","limit",2861.50000,14.01691,0.03504,0.00489845,0.00000,"","LDOWRS-HIFH7-QROS3C,LJ7NZP-CF6CI-W2WXJH","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TP5EB6-MKHVI-5HVC7P","ODGJMP-5OXB6-NQFHY4","COMP/EUR","forex","2024-04-28 14:34:06.9784","sell","limit",53.2200,87.8749,0.2197,1.65116279,0.0000,"","LGD47D-MU3ST-74ZR37,LQQDBT-VAR5T-2VY6JR","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TVCLA4-3IDFJ-B6HD4F","OUTEQR-MPFNV-BHGEH2","BTC/USDT","forex","2024-04-28 15:03:03.3247","sell","limit",63652.80000,2214.68651,5.53672,0.03479323,0.00000,"","LZC2KB-TAFDJ-2PG4FH,LEZWHK-XJYJH-NRF6AV","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TZTYX6-V43IQ-H2P3XL","OZL3IP-ABBTY-332R74","DOGE/EUR","forex","2024-11-09 15:45:43.7396","buy","limit",0.191800000,575.400000000,1.438500000,3000.00000000,0.000000000,"","LYYIHR-4VSEE-APYVNJ,LJHZNN-ZEMYH-FN2IDW","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TKTTIB-LVNSQ-BJO2QA","OW2LDM-KKM3S-TQVCXP","ETH/EUR","forex","2024-11-09 16:10:17.7415","buy","limit",2834.50000,850.35000,2.12588,0.30000000,0.00000,"","LWNEK6-2T5WQ-PPOXLF,L2VVDW-XD32E-QDTGKJ","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TC36PT-YAREQ-OHKF5X","OQD6BH-RUYJF-RQFS2X","SOL/EUR","forex","2024-11-09 16:17:50.3096","buy","limit",184.00000,368.00000,0.92000,2.00000000,0.00000,"","LVJSLD-4MK4O-FU2QPO,LY6HMY-2DG7Y-OYPG3R","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TEBDC6-RCMNL-7D2TQL","OCNBGD-3EJK2-V454K5","ENA/EUR","forex","2024-11-09 17:12:06.7288","buy","limit",0.47500000,251.49751850,0.62874380,529.46846,0.00000000,"","L66YYO-X54SO-JVHELB,LRY64E-RLCCI-ZKE6DH","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TPWGQI-2UQGZ-SNZJ5I","OCNBGD-3EJK2-V454K5","ENA/EUR","forex","2024-11-09 17:12:06.7929","buy","limit",0.47500000,77.75567600,0.19438919,163.69616,0.00000000,"","LHMYGR-RK4PW-GRLNUW,LAMCYK-MJ77M-IILWT3","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TEWGEV-J2CTE-TOCBLT","OLSV36-CC45T-HMUOCW","DOGE/USDT","forex","2024-11-26 20:04:40.7542","sell","limit",0.379520000,1053.168000000,2.632920000,2775.00000000,0.000000000,"","LSHOPH-TJUYQ-X3HFC2,LMGHPB-YLLXQ-7BYBC3","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T54KVM-OIZLO-OAGJG6","OSE5YS-AQICP-QPKMHI","ENA/EUR","forex","2024-12-06 16:15:46.0086","sell","limit",0.98520000,334.99999930,0.83750000,340.03248,0.00000000,"","LLU4HO-6MVHS-QSYQJR,LYLRPH-TIVON-IRMVZE","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
